topic_id,topic_name,exclusividade,n_docs
20,Coreia e relações internacionais,0.8616994646232466,14
19,Fórmula 1 e Hamilton em Bahrein,0.8497292072067225,16
12,Exame Nacional do Ensino Médio,0.729513772026999,74
8,Espacialidade e missões lunares,0.6816146447068083,177
17,Economia Argentina e FMI,0.6763212787351416,29
22,Política externa e relações internacionais,0.6689282584840887,12
16,Mortes por Covid no Brasil,0.5819779830549703,37
18,Chuvas e meteorologia em São Paulo,0.5755768444669466,21
23,Aplicações de entrega e trabalhadores digitais,0.5667657053561175,11
21,China e Covid-19 em foco,0.5643944210843804,12
4,Copa do Brasil e futebol brasileiro,0.5194139530868848,340
14,Tragédia ambiental no Brasil,0.5161632699388671,54
13,Mudanças Climáticas Globais,0.5035296503864892,67
15,Mudanças Climáticas Globais (gelo),0.4898721224217394,50
7,Paleontologia e fósseis no Brasil,0.4499908684380074,197
5,Desmatamento na Amazônia e indígenas,0.4323872745047918,255
11,Reforma Tributária e Economia Brasileira,0.42099452253199193,136
2,Cinema e artistas brasileiros,0.4046546893991616,385
10,Economia brasileira e inflação,0.3627336350785929,157
6,Polícia e violência policial no Brasil,0.29155391674252457,215
3,Vacinação contra a Covid-19 no Brasil,0.25063501231995566,380
1,Educação no Brasil e pandemia,0.24610120401042024,454
9,Gestão de saúde e pandemia no estado,0.20852543801214402,176
0,Políticas eleitorais e disputas políticas,0.16887523462974402,612
