topic_id,macro_id,topic_name,n_docs
20,1,Coreia e relações internacionais,14
22,1,Política externa e relações internacionais,12
5,2,Desmatamento na Amazônia e indígenas,255
14,2,Tragédia ambiental no Brasil,54
7,3,Paleontologia e fósseis no Brasil,197
8,3,Espacialidade e missões lunares,177
13,4,Mudanças Climáticas Globais,67
15,4,Mudanças Climáticas Globais (gelo),50
18,5,Chuvas e meteorologia em São Paulo,21
16,6,Mortes por Covid no Brasil,37
21,6,China e Covid-19 em foco,12
0,7,Políticas eleitorais e disputas políticas,612
1,7,Educação no Brasil e pandemia,454
3,7,Vacinação contra a Covid-19 no Brasil,380
6,7,Polícia e violência policial no Brasil,215
9,7,Gestão de saúde e pandemia no estado,176
10,7,Economia brasileira e inflação,157
11,7,Reforma Tributária e Economia Brasileira,136
12,7,Exame Nacional do Ensino Médio,74
23,8,Aplicações de entrega e trabalhadores digitais,11
2,9,Cinema e artistas brasileiros,385
4,9,Copa do Brasil e futebol brasileiro,340
17,9,Economia Argentina e FMI,29
19,10,Fórmula 1 e Hamilton em Bahrein,16
