topic_id,topic_name,exclusividade,n_docs
23,Intolerância religiosa e racismo online,0.9931456703853108,36
21,Links e vídeos com Bolsonaro,0.9731605156817718,44
22,Renúncia e cadeia de Bolsonaro,0.908435627724003,44
5,Debate político na Band,0.8948280829781305,280
9,Bolsonaro no Catar e jogo do Brasil,0.8886451889038561,193
12,Manifestações em Brasília,0.8848526489572451,151
20,Coração Vermelho e Memes Politicos,0.8824330143928545,46
18,Caminhoneiros e greve de protesto,0.8763639008524489,90
4,Barroso e mané na disputa eleitoral,0.8412752269296664,392
11,Bolsistas e pagamento da Capes,0.8400808793347077,157
3,GloboLixo e ataques ao jornalismo,0.8216151042341643,525
8,Bolsonaristas e ataques a Lula,0.8194393763488999,196
14,Eleições e resultados do turno eleitoral,0.8096322755188966,126
10,Rombo e desabamento do orçamento brasileiro,0.7618357614454034,177
17,Multa ao PL por fraude eleitoral,0.7598743437255575,104
15,Saqueio e crise no governo Bolsonaro,0.7541823929551245,121
1,Votação e eleição de Lula,0.7396508668868929,616
7,Polícia Rodoviária e impedimento de voto no,0.7349163679837523,228
13,Prisão de Cacique Xavante,0.7254976437599673,146
6,Apoio a Xandão e ataques ao STF,0.7162097800437732,234
19,Multa e apoio a Xandão,0.7125741147515112,64
2,Terrorismo e atos de vandalismo em Brasília,0.644358403263745,571
16,Orçamento secreto e Bolsonaro,0.6272661624032324,120
0,Bolsonaristas comemoram vitória de Bolsonaro,0.4715408715457894,838
